country,date,title,url
"USA",2014-03-05,"S. Koreans Protest against U.S. Nuclear Submarine's Entry into Pusan Port",http://www.kcna.co.jp/item/2014/201403/news05/20140305-18ee.html
"USA",2014-01-16,"S. Korean Organization Slams U.S. War Moves against DPRK",http://www.kcna.co.jp/item/2014/201401/news16/20140116-14ee.html
"USA",2014-01-05,"Kim Jong Un's Work Introduced in Austria",http://www.kcna.co.jp/item/2014/201401/news05/20140105-01ee.html
"USA",2014-03-07,"February Issue of Magazine Thongil Published",http://www.kcna.co.jp/item/2014/201403/news07/20140307-25ee.html
"USA",2014-03-05,"U.S.-S. Korea Joint Military Drills Rapped by Brazilian Politician",http://www.kcna.co.jp/item/2014/201403/news05/20140305-03ee.html
"USA",2014-03-01,"Kim Jong Un's Letter Posted by Swiss Organizations on Their Websites",http://www.kcna.co.jp/item/2014/201403/news01/20140301-01ee.html
"USA",2014-01-08,"Independent Reunification of Korea Urged",http://www.kcna.co.jp/item/2014/201401/news08/20140108-18ee.html
"USA",2014-03-03,"West's Campaign against DPRK Condemned by Bulgarian Organization",http://www.kcna.co.jp/item/2014/201403/news03/20140303-03ee.html
"USA",2014-01-16,"Kim Jong Un's New Year Address Supported by Romanian Politiciana",http://www.kcna.co.jp/item/2014/201401/news16/20140116-04ee.html
"USA",2014-01-19,"Kim Jong Un's New Year Address Supported by Indian Political Figure",http://www.kcna.co.jp/item/2014/201401/news19/20140119-04ee.html
"USA",2014-01-30,"Kim Jong Il Highly Praised in DR Congo",http://www.kcna.co.jp/item/2014/201401/news30/20140130-03ee.html
"USA",2014-01-09,"Korean in U.S. Calls for Korea's Reunification",http://www.kcna.co.jp/item/2014/201401/news09/20140109-09ee.html
"USA",2014-01-30,"Crucial Proposal of NDC of DPRK Supported by Nigerian, Czech Organizations",http://www.kcna.co.jp/item/2014/201401/news30/20140130-07ee.html
